id_orgao,codigo,disponivel,valor_congelado,despesa,valor_orcado
1942396,1,6.7,0.7,68.8,47.4
1970390,2,6.2,0.7,40.9,41.3
1976139,3,11.3,3.5,58.9,108.5
2011876,4,10.7,3.9,45.4,113.8
2012966,5,17.2,7.9,78.5,210.6
2051699,6,19.7,10.7,38.1,175.9
2062879,7,20.5,12.7,65.5,142
2065691,8,20.7,12.1,53.6,177.6
2073016,9,20.1,10.8,17.1,166.7
2080474,10,17.1,8.4,1.6,98.4
2083877,11,12.6,6.2,8.2,81.7
2084066,12,7.8,2.6,108.6,35.4
2104505,1,3.8,-2.6,59.9,58.5
2122180,2,4.5,-0.4,44,52.9
2139353,3,9.2,2,94.9,99.6
2143752,4,12.7,4.8,77.6,106.3
2146792,5,15.9,7.2,87,200.6
2153153,6,19,11.1,37.6,140.3
2155014,7,22.5,13.4,21.7,182.5
2164705,8,21,12.2,33.4,171.3
2171627,9,19.6,10.3,20.8,177.6
2182846,10,16.4,8.8,68.7,124.9
2194100,11,10.8,3.5,48.2,58.1
2197016,12,9.2,3.9,90.7,49.6
2208424,1,6,-0.1,29.7,72.4
2229865,2,9.9,2.9,36.8,52.2
2255601,3,9,2.4,72.1,83.2
2268379,4,14,5.4,21.6,161.2
2278464,5,17.3,7.4,26.1,221.1
2293923,6,19.8,10.9,106.2,188.8
2312620,7,19.7,11.9,59.3,163.7
2329342,8,21.9,13.3,52.3,173.4
2339528,9,20.1,12,27.7,146.6
2342426,10,14,5.8,96.5,123.3
2344901,11,9.3,4.5,26.4,66.4
2358056,12,8.9,2.7,33.4,63.7
2358969,1,8.1,2,32.7,62
2364471,2,7.1,-0.1,11.9,71.6
2367155,3,11.8,6.5,90.8,56.8
2369266,4,12.9,4.9,32.4,129.9
2376496,5,16.1,8.4,79.8,112
2391984,6,18.5,10.4,39.5,152.1
2411661,7,22,12.8,56.7,148.9
2411778,8,22.8,13,45.3,217.9
2412002,9,20.3,11.3,94.6,151.1
2412967,10,12.9,5.8,76.5,110.3
2429854,11,11.5,5.1,34.1,54.9
2437837,12,4.4,-1.5,85.3,47
2449878,1,6.9,0.4,38,57.7
2456480,2,8.4,2.4,31.6,51.3
2457256,3,11.1,2.5,51.5,171.3
2458355,4,14.3,5,22.8,180.9
2460080,5,18,7.6,71.9,204.8
2461190,6,21.5,12.8,84.6,182.1
2479954,7,22.7,13.4,24.5,164
2481901,8,22.2,12.9,39.7,168.9
2482700,9,20.8,11.1,39.6,156
2486127,10,14.1,7.8,109.1,69.6
2498700,11,11.4,6.2,72.9,55.5
2516503,12,8.2,1.9,63.6,50
2518069,1,10,4.3,47.2,51.4
2521459,2,5.5,-0.5,31,85.3
2523736,3,10.8,3,33.7,93.4
2529279,4,12.4,3.6,101.5,145.4
2532302,5,15.6,7.5,72.9,136.8
2536991,6,20.8,11.4,12,188.8
2550279,7,27.6,16,50.3,247.8
2551220,8,24.5,13.8,11.4,219.1
2552472,9,19.3,11.3,42.9,113.7
2555340,10,15.1,7.6,41.7,114
2557283,11,11.3,5.5,39.5,42.9
2559575,12,9.2,2.7,50.9,58.5
2562034,1,8,1.4,73.3,88.1
2566163,2,7.4,1.3,32.9,71.6
2566592,3,8.9,2.5,73.4,51.4
2574528,4,14.6,3.9,5.4,230.5
2574583,5,14.9,6.8,90.9,144.7
2576122,6,21.3,11.3,36.1,237
2578995,7,24.2,12.9,19.2,232.5
2586560,8,24.4,14.2,27.8,201.1
2594139,9,18.6,11,73.4,98.1
2598871,10,15.8,8.5,82.8,91.2
2599352,11,12.2,6.4,69.8,75.4
2600688,12,8.7,2.8,56.7,49.3
2606098,1,4.1,-1.8,41.3,46.9
2613116,2,6.3,0.1,29.8,78.3
2617002,3,9.4,1.3,34.1,105.2
2639449,4,14,5.3,33.3,157.5
2639540,5,16.4,8.2,64.7,163.7
2639641,6,18.5,9.9,88.9,167.2
2641155,7,22.9,13.2,35.2,241.4
2643002,8,20.3,11.9,58.9,187.3
2645733,9,20.6,11.4,11.2,143.4
2649826,10,16.1,8.8,18.4,118.8
2650282,11,8.1,1.2,30,88.6
2664024,12,10,5.2,80.5,39
2666246,1,7.2,1,105.6,62.8
2669816,2,1.7,-2.7,14.5,61.9
2671132,3,10.1,1.8,43.5,124.4
2676809,4,10.9,3.2,60.7,135.2
2678643,5,16.3,7.9,52.3,172.3
2685865,6,21.8,11.4,17.2,225.8
2688067,7,22.6,13.3,54.6,180.5
2689958,8,20,11.5,66.7,158.3
2691206,9,17.4,8.1,22.8,157.5
2694424,10,16.4,8.5,72.4,116.3
2698257,11,12.1,5.2,66.1,73.1
704156,12,9.7,3.2,60.6,55.1
705379,1,3.6,-1,11.1,54.4
749412,2,7.7,1.4,32.4,58
760729,3,8.5,1.4,42.7,105.2
905042,4,15.8,6.7,39.9,153
949618,5,16.3,7,54.1,198.2
958987,6,18.6,10.6,69.9,132.9
968578,7,21.8,13.2,77.3,176.1
969076,8,21.8,12.5,57.2,172.3
971027,9,19.3,11.4,36.9,147.2
978739,10,15,7.7,174.8,120.6
1035023,11,9.8,4.2,43.3,39.8
1105478,12,8.9,4.1,14.4,34.4
1352868,1,8.8,3.1,106.9,54.7
1401935,2,8.7,1.8,26,115.9
1402638,3,10.7,3.7,59.5,88.1
1414443,4,13.5,5.1,27.7,145.8
1465690,5,18,9.1,41.6,202
1472925,6,19.7,11.3,44.3,159.9
1488959,7,20,12.2,76.2,161.7
1518989,8,21.8,12.4,60.9,195
1618738,9,18.8,10.8,27.8,147.8
1626710,10,15.5,8.5,56.3,110
1640609,11,9.9,1.8,16,89.2
1729319,12,10.4,4.8,8.9,37.5
1746134,1,9.5,3.1,26,59.2
1758449,2,10.2,2.6,40.2,94.2
1765788,3,12.9,4.5,56.6,100
1801229,4,11.5,4.3,64.2,144.5
1801641,5,21,10,12.1,310.1
1847830,6,22.1,11.4,35.5,258.5
1860318,7,25.8,14.8,36.7,274.8
1889511,8,24.2,13.1,55.7,267.1
1889577,9,20.7,12.6,10.8,131.2
1894188,10,17.1,9.7,52.8,113.4
1938355,11,10.9,3.7,23.8,107
1942396,12,9.4,4.2,119.3,33.6
1970390,1,10.2,4.4,71.1,57.6
1976139,2,11.7,5.3,92.3,94.3
2011876,3,13.6,4.8,6.9,154.6
2012966,4,14.6,4.2,29.7,245
2051699,5,20.5,9,4.1,287
2062879,6,19.5,10.8,39.5,132.5
2065691,7,24.7,13.2,6.9,273.2
2073016,8,26,14.7,26.8,249.3
2080474,9,19.7,10,24.9,173.4
2083877,10,16.9,9.6,49.7,122.5
2084066,11,10.7,5.1,22.1,70
2104505,12,7.6,2.5,51.4,47.8
2122180,1,7.3,1.8,69.7,68.4
2139353,2,5.4,-1.3,34.7,48.5
2143752,3,12.5,5.3,25.9,102.7
2146792,4,13.1,4.8,52.8,158.5
2153153,5,15.7,7.7,9.1,138.7
2155014,6,17.8,9.7,88.6,135
2171627,7,23.2,14.4,92.9,218.6
2182846,8,24.1,14.4,26,241.7
2194100,9,21.4,11.5,43.7,183
2197016,10,14.6,7.6,18.5,87.1
2208424,11,10.6,4.2,59.3,59.2
2229865,12,8.3,1.7,12,60.7
2255601,1,7.5,2,12.6,56
2268379,2,9.5,2.3,17.7,50.3
2278464,3,11.8,4.9,38.5,61.8
2293923,4,14,5.6,57.1,129.7
2312620,5,21,10.2,94.5,271.9
2329342,6,22.5,12.3,22.5,213.7
2339528,7,22.5,14.2,62.3,158.6
2342426,8,21.7,13.6,84.7,149.2
2344901,9,18.9,11,77.3,127.5
2358056,10,12.5,5.3,59.4,112.6
2364471,11,12,4.8,86.9,61.6
2367155,12,7.8,1.6,35.9,49.1
2369266,1,10.3,3.5,63.1,37.8
2376496,2,7.2,2.5,2.4,51
2391984,3,11.8,3.3,16,128.4
2411661,4,14.6,6.8,75.3,126.9
2411778,5,18,8.8,31.8,176.6
2412002,6,21.8,12.2,43.9,224.2
2412967,7,21.6,12.6,35,174.6
2437837,8,21.6,11.7,23.8,219.4
2449878,9,17.5,9.8,96.3,104.5
2456480,10,13,7,123,117
2457256,11,8.8,2.4,29.5,71.3
2458355,12,9.2,3.6,73.8,52.4
2460080,1,9.3,2.8,80,73.4
2461190,2,7.7,1.2,42.6,72
2469673,3,12.3,5.1,40,126.4
2470694,4,13.3,5.1,52.8,175
2479954,5,16,8.2,80.6,158.3
2481901,6,21.5,11.2,17,265
2482700,7,26.2,15.2,16.9,267.1
2486127,8,23,13.8,32.2,180.9
2498700,9,17.8,10.8,86.3,109.7
2516503,10,15.4,7.7,76,141
2518069,11,13.6,8.4,43.1,42.7
2521459,12,10.7,4,63.3,60.8
2523736,1,8.9,2.2,113.7,59.6
2529279,2,10.7,4.4,71.9,70.9
2532302,3,11.2,2,49.5,194.5
2536991,4,15,6.1,16.9,199.5
2550279,5,19,8.2,30,234.4
2551220,6,20.7,10.8,11.1,187.7
2552472,7,26.3,15.2,20.3,247.1
2555340,8,27,15.6,0.3,295.3
2557283,9,19.2,10.7,95,142.4
2559575,10,18.3,10.2,19.2,129.9
2562034,11,12,5.1,28.5,76.2
2566163,12,5.8,1,82.8,44.7
2566592,1,7.2,3.1,41.5,25.3
2574528,2,6.8,0.1,49,100.3
2574583,3,8.6,2.1,31.4,75.9
2578995,4,14.3,5.5,25,147.5
2586560,5,15.1,5.9,25.8,182.6
2594139,6,22.8,11.3,12,282.7
2598871,7,24.2,13.2,28.8,233.7
2599352,8,23.1,13.4,45.8,217.6
2600688,9,19.2,10.7,22,142
2606098,10,16.6,8.9,35.4,142.3
2613116,11,10.5,2.7,91,107.5
2617002,12,6.2,1.4,13,57.6
2639449,1,5.5,0.2,10.3,59.3
2639540,2,10.8,4,55.1,58.1
2639641,3,13.8,5.3,11.4,151
2641155,4,15.6,5.4,9.8,218.5
2643002,5,18.7,8.5,28.2,259.2
2645733,6,20.2,12.2,78.6,151.6
2649826,7,23.5,13.9,34.6,241.1
2650282,8,25.8,16.6,70.5,194.2
2664024,9,20.9,11.8,6.8,190.3
2666246,10,15.9,7.5,44.9,166
2669816,11,12.5,6.2,47.1,67.3
2671132,12,9.5,4.2,47.4,48
2676809,1,9.2,3.5,68.6,65.2
2678643,2,11.6,3.5,6.6,113.1
2685865,3,12.1,5.7,51.1,84.9
2688067,4,12.7,5.7,82.6,115.4
2689958,5,19.6,10.2,31.9,228.2
2691206,6,19.9,12,89.6,158.4
2691244,7,21.4,13,26.9,184.3
2694424,8,23.5,12.7,16.6,262.6
2698257,9,20.4,12.7,101.2,149.1
11391,10,14.7,8.6,103.8,96.7
28400,11,9.6,3.4,57,78.5
31604,12,9.7,3.8,49.2,42.4
32885,1,9.4,3.8,68.7,53.7
38053,2,8.8,2.8,21.1,90.1
45462,3,12.2,5,25.6,122.5
45642,4,14.9,6.3,35,167.8
52130,5,19.1,10.2,35.8,184.9
53025,6,20.3,11,98.2,239.1
57506,7,24.9,14.3,8.6,275.9
58873,8,22.8,14,124.8,199.8
59185,9,21.3,13.2,86.7,165
62155,10,15.6,7.9,49.2,160.5
63400,11,11.3,5.9,31.2,79
65002,12,8.7,2.4,77.2,75.3
70464,1,8.6,2.4,16.5,78.6
71361,2,10.4,3.8,62.2,102.5
74372,3,12.1,4.9,16,120.4
75091,4,12.9,5.4,99.6,135.8
77367,5,18,9.6,87.2,202.9
91265,6,21,12.8,19.2,169.5
98094,7,21,12.8,52.8,174.7
100893,8,23.2,14,32.3,211.4
101781,9,20.1,12.5,105.8,132.1
102806,10,14.7,8.5,155.4,98
102952,11,11,4.5,99.5,74.9
104476,12,9,4.6,73.9,50
106247,1,7.1,1.8,75.2,87
106577,2,9.2,2.8,69.6,92.3
110175,3,9.5,3.8,95.3,78.2
113295,4,12.8,5.4,66.5,138.5
114017,5,18.8,9.1,26,228
114999,6,20.8,11.3,39.1,248
116541,7,24.3,14.5,35.2,229.1
116692,8,23.5,14.5,79,210.9
118983,9,18.1,10.8,59.6,143.3
123044,10,17.6,11.3,108.2,109.9
127582,11,11.3,4.4,33.8,88.3
129955,12,7.3,1.4,17.8,93.3
132976,1,9.5,3.5,51,53.4
134143,2,11.3,4.8,64,91.4
135400,3,12.4,5.1,37.6,111.3
137873,4,15.7,6.1,38.4,220.5
141355,5,17.3,9.4,66.4,192.2
142326,6,20.1,11.6,74.2,191.5
144801,7,22.3,13.5,67.2,193.9
145130,8,23.3,14.7,36.3,190.4
146188,9,20.3,11.5,20,178.2
147756,10,15.3,8.4,61.6,109.2
148993,11,12.4,7,151,66.1
151358,12,9,5.2,119,34.1
155550,1,8,2.3,73.6,93.6
155854,2,8.4,1.8,20.8,101.2
155984,3,13.6,4.4,16.4,176.9
157568,4,15.7,6.3,30,198
159954,5,18.2,9,39.1,205.5
164259,6,23.3,13.3,47.6,245.5
167906,7,24.2,14.7,28.8,213.9
168936,8,26.4,15.7,10.4,255.3
172112,9,21.9,10.8,8.4,206.7
172797,10,14.5,6.4,35.2,160.7
174782,11,12.6,6.7,113.8,88.2
175392,12,8.8,3.2,51.4,58
175932,1,8.8,3.1,71.9,64
175991,2,8.7,3.8,26.2,65.3
180753,3,10.8,3.9,29.5,102.7
183096,4,14.9,6.3,68.8,155
183947,5,18.2,9.5,45,208.2
184271,6,22.1,12.6,40.4,236
186149,7,22.7,13.3,37.6,201.5
187100,8,23.8,15.1,107.8,213.3
189879,9,20.8,12.5,18.8,182.7
192183,10,15.3,9.1,96.6,101.2
200860,11,11.2,6.2,29.6,60.8
202635,12,8.8,2.9,46.4,48.2
205350,1,9.5,3.8,21.6,72.1
205719,2,7.3,2.5,19.7,62.4
227499,3,11.5,4.5,43.6,96.7
227517,4,14.6,6.2,30,153
228082,5,17.7,8.5,19.8,228.3
228222,6,22.8,12.9,32.6,219.3
229179,7,23.3,14.1,45.8,202.5
229361,8,23.2,13,42.4,250.4
231554,9,21.4,12.7,47.5,   143.9
236284,10,17.8,11.3,73.4,    89.9
238007,11,10.7,3.5,29.2,    93.3
240712,12,8.2,1.9,44.4,    65.7
240884,1,7.6,2.9,16.8,    51.4
241649,2,7.2,1.7,41.2,    62.9
241729,3,9.4,2.8,44.6,    91.2
242793,4,14.1,6,33.4,   132.3
246834,5,18,9.8,91.6,   128.2
248270,6,23.7,12.9,11.8,   225.3
255548,7,28.2,16.7,23.6,   266.4
256815,8,22.2,13.5,68.8,   140.2
258392,9,22.7,14.5,78.2,   153.9
258894,10,17.8,11.2,64.4,   106.3
260355,11,12.7,5.4,98,    97.0
262011,12,9.7,4.5,63.6,    41.2
262934,1,10.5,5.1,56,    56.6
268073,2,9.9,3.9,92.9,    59.3
271251,3,12.5,4.4,43.8,   164.7
277880,4,18.9,7.7,3.6,   224.6
279572,5,17.9,9.7,80,   149.6
281022,6,21.2,12.6,63.8,   139.7
281250,7,21.4,13.1,115.2,   159.9
282821,8,21.5,12.9,41,   192.6
286488,9,19.9,11.4,17.4,   141.1
287548,10,15.4,8.5,37.8,    98.4
290201,11,11.4,4.6,84.8,    81.3
290757,12,8.9,3.1,44.6,    61.4
291334,1,10.4,4.7,69,    60.2
293699,2,11,2,15.4,   130.0
294570,3,10.6,3.7,69.8,    85.7
294594,4,13.7,5.2,63.4,   140.3
295741,5,19.8,10.5,64.2,   162.6
296332,6,20.8,11.9,45.6,   201.9
298696,7,22.8,13.7,76.8,   172.5
300398,8,21.5,14.2,64.4,   104.3
302302,9,18.5,11.2,43,   110.7
305386,10,15,6.8,45,   134.4
306107,11,10.7,5.2,58.8,    42.2
306466,12,7.3,1.7,41.2,    65.1
306897,1,6.8,0.3,72.4,    63.2
307061,2,7.8,2.1,69.6,    59.2
307866,3,12.9,3.7,30,   158.5
311917,4,16.1,7.2,28,   172.8
312537,5,19.1,9.4,29.8,   193.9
312782,6,22.4,12.2,34,   192.8
318933,7,23,13.7,71.4,   155.8
319047,8,23.9,14.1,39.6,   167.6
321942,9,20.5,12,36,   137.3
324002,10,16.3,9.3,39.4,    84.7
324084,11,12.6,7.4,148,    62.4
324282,12,7,1.3,84.6,    60.3
332789,1,4.5,-0.3,51.8,    51.3
333059,2,6.9,1.7,100.4,    46.7
333323,3,11.1,3.7,39.8,   106.4
335764,4,15.8,5.6,23.2,   201.7
336207,5,17.3,7.7,20.6,   170.4
339972,6,23.5,12.1,12.4,   220.1
341872,7,25,15.1,18,   161.8
342514,8,21.6,13.2,88.6,   110.9
342972,9,19.4,11.2,38.2,   128.7
343446,10,15.2,8.3,74.8,   104.0
344282,11,9.1,4,32.2,    50.0
345068,12,3.9,-1.5,21.4,    18.5
345357,1,7.4,2.8,76.8,    35.6
346025,2,10.2,4.8,42.8,    36.2
350188,3,12.3,3.8,14.6,   126.4
357668,4,19.7,8.6,2.4,   218.0
364177,5,19.4,9.4,24.6,   218.0
365244,6,20.7,11,84,   173.5
365642,7,21.7,12.6,49.8,   173.6
366483,8,21.8,13.4,68.8,   144.1
368194,9,21.3,12.4,35,   161.2
368824,10,18.1,10.1,18.4,   140.4
368963,11,13.6,7.3,29,    52.5
376439,12,9.9,3.8,63,    60.6
376581,1,9.8,3.4,34.4,    68.5
380953,2,8,1.3,16.8,    84.9
383254,3,14.7,4.7,16.2,   180.3
386924,4,13.3,4.9,98.4,   141.7
386952,5,18.2,9.7,25.4,   166.6
388722,6,19.4,11.6,110.8,   118.5
388885,7,21.3,13.2,71.8,   161.6
390890,8,23.5,14.3,36.4,   182.6
392756,9,20,10.3,41.2,   178.9
392931,10,14.2,8,88.4,    85.6
393207,11,11,4.6,71.8,    75.4
396872,12,9,2.6,95.8,    58.0
